lead_days,gages,forecast_initializations,observed_event_frequency,mean_forecast_probability,calibration_bias,brier_score
30,4,199,0.1658291457286432,0.17443654018090454,0.00860739445226133,0.06898279246893624
45,4,199,0.19095477386934673,0.225434104040201,0.03447933017085428,0.09283009429564067
60,5,250,0.228,0.25160396203200003,0.02360396203200002,0.11237094381347877
90,5,250,0.336,0.306455447296,-0.029544552704000027,0.1848987348405969
