GAGE_ID,lead_days,forecast_initializations,observed_event_frequency,mean_forecast_probability,calibration_bias,brier_score
01011000,30,56,0.19642857142857142,0.19519094899999997,-0.0012376224285714499,0.062226043692096104
01011000,45,56,0.23214285714285715,0.24840877292857141,0.016265915785714263,0.0895990588359756
01011000,60,56,0.2857142857142857,0.2768741161428571,-0.00884016957142858,0.1319793576993013
01011000,90,56,0.35714285714285715,0.32284299746428574,-0.03429985967857141,0.19235509035438408
01013500,30,64,0.15625,0.15563118834375,-0.0006188116562499957,0.058094793876354064
01013500,45,64,0.1875,0.21070544784375,0.023205447843750004,0.08525818422291329
01013500,60,64,0.21875,0.24845297278125,0.029702972781250003,0.10073460902421338
01013500,90,64,0.328125,0.2999690629375,-0.028155937062500025,0.17831585023478713
01015800,60,51,0.19607843137254902,0.22248107407843135,0.02640264270588233,0.10359999288440401
01015800,90,51,0.3333333333333333,0.28402252027450986,-0.049310813058823455,0.1853912825553282
01017000,30,55,0.2,0.18433843589090912,-0.015661564109090892,0.09425279046377279
01017000,45,55,0.21818181818181817,0.22106210960000006,0.002880291418181885,0.11204605476144777
01017000,60,55,0.2909090909090909,0.2505850601454545,-0.04032403076363639,0.12141768541480615
01017000,90,55,0.41818181818181815,0.3101710195272727,-0.10801079865454544,0.19694325692381695
01019000,30,24,0.041666666666666664,0.15346534683333335,0.11179868016666669,0.055872790456948686
01019000,45,24,0.041666666666666664,0.22112211375,0.17945544708333333,0.07652436116132409
01019000,60,24,0.041666666666666664,0.2652640275,0.22359736083333334,0.09555435873917599
01019000,90,24,0.125,0.3246699720833333,0.1996699720833333,0.15640623725606975
