lead_days,intact_probability,seasonal_reconstruction_probability,independent_reordering_probability,observed_flow,Q10
1,0.0,0.0,0.0,1.9500594530321047,0.37217598097502974
2,0.0,0.0,0.0,1.8192627824019025,0.37217598097502974
3,0.0,0.0,0.0,1.7003567181926278,0.37217598097502974
4,0.0,0.0,0.0,1.6171224732461356,0.37217598097502974
5,0.0,0.0,0.0,1.5101070154577882,0.37217598097502974
6,0.0,0.0,0.0,1.426872770511296,0.37217598097502974
7,0.0,0.0,0.0,1.3555291319857314,0.37217598097502974
8,0.0,0.0,0.0,1.379310344827586,0.37217598097502974
9,0.0,0.0,0.0,1.272294887039239,0.37217598097502974
10,0.0,0.0,0.0,1.1807372175980977,0.37217598097502974
11,0.0,0.0,0.0,1.1117717003567182,0.37217598097502974
12,0.0,0.0,0.0,1.0499405469678955,0.37217598097502974
13,0.0,0.0,0.0,0.980975029726516,0.37217598097502974
14,0.0,0.0,0.0,0.9239001189060643,0.37217598097502974
15,0.0,0.0,0.0,0.8656361474435196,0.37217598097502974
16,0.0,0.0,0.0,0.8085612366230678,0.37217598097502974
17,0.0,0.0,0.0,0.7562425683709869,0.37217598097502974
18,0.0,0.0,0.0,0.7205707491082046,0.37217598097502974
19,0.0,0.0,0.0,0.6789536266349584,0.37217598097502974
20,0.0,0.0,0.0,0.6587395957193817,0.37217598097502974
21,0.0,0.0,0.0,0.66230677764566,0.37217598097502974
22,0.0,0.0,0.0,0.629013079667063,0.37217598097502974
23,0.0,0.0,0.0,0.5755053507728894,0.37217598097502974
24,0.0,0.0,0.0,0.5386444708680144,0.37217598097502974
25,0.0,0.0,0.0,0.525564803804994,0.37217598097502974
26,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.4982164090368608,0.37217598097502974
27,0.019801980198019802,0.019801980198019802,0.0297029702970297,0.46848989298454224,0.37217598097502974
28,0.019801980198019802,0.019801980198019802,0.039603960396039604,0.44589774078477995,0.37217598097502974
29,0.019801980198019802,0.019801980198019802,0.04950495049504951,0.42092746730083236,0.37217598097502974
30,0.0297029702970297,0.019801980198019802,0.06930693069306931,0.40784780023781203,0.37217598097502974
31,0.0297029702970297,0.0297029702970297,0.09900990099009901,0.38882282996432815,0.37217598097502974
32,0.039603960396039604,0.04950495049504951,0.13861386138613863,0.36979785969084417,0.37217598097502974
33,0.039603960396039604,0.04950495049504951,0.1782178217821782,0.35909631391200947,0.37217598097502974
34,0.039603960396039604,0.04950495049504951,0.2079207920792079,0.3460166468489893,0.37217598097502974
35,0.039603960396039604,0.04950495049504951,0.24752475247524752,0.36623067776456597,0.37217598097502974
36,0.04950495049504951,0.0594059405940594,0.2871287128712871,0.36147443519619493,0.37217598097502974
37,0.0594059405940594,0.07920792079207921,0.32673267326732675,0.3555291319857312,0.37217598097502974
38,0.0594059405940594,0.07920792079207921,0.36633663366336633,0.3495838287752675,0.37217598097502974
39,0.0594059405940594,0.07920792079207921,0.40594059405940597,0.34839476813317477,0.37217598097502974
40,0.06930693069306931,0.07920792079207921,0.43564356435643564,0.3281807372175981,0.37217598097502974
41,0.06930693069306931,0.07920792079207921,0.45544554455445546,0.3067776456599286,0.37217598097502974
42,0.06930693069306931,0.07920792079207921,0.49504950495049505,0.29250891795481565,0.37217598097502974
43,0.06930693069306931,0.0891089108910891,0.504950495049505,0.2794292508917955,0.37217598097502974
44,0.07920792079207921,0.0891089108910891,0.5247524752475248,0.27705112960761,0.37217598097502974
45,0.0891089108910891,0.0891089108910891,0.5643564356435643,0.2687277051129608,0.37217598097502974
46,0.09900990099009901,0.10891089108910891,0.594059405940594,0.258026159334126,0.37217598097502974
47,0.09900990099009901,0.10891089108910891,0.6138613861386139,0.26753864447086806,0.37217598097502974
48,0.1188118811881188,0.13861386138613863,0.6633663366336634,0.24494649227110574,0.37217598097502974
