candidate,reference,lead_days,score,basins,cases,candidate_score,reference_score,relative_skill_percent,stratified_ci_low,stratified_ci_high,basin_fraction_improved,seasonal_reconstruction_score,reported_score
hydrograph_analog,independent_daily_shuffle,30,event_brier,2660,341710,0.0865180042969447,0.1887504574975479,54.16275783168967,53.24370251377667,55.0584686312307,0.9462406015037594,0.0893726920308546,event_brier
hydrograph_analog,independent_daily_shuffle,45,event_brier,3026,386470,0.1029361947909608,0.2564221687106724,59.8567490055408,59.08923926251489,60.63528902593547,0.956708526107072,0.1056434058481422,event_brier
hydrograph_analog,independent_daily_shuffle,60,event_brier,3169,404349,0.1175993384052271,0.3143227736583006,62.586440353485486,61.83230138305392,63.28646709740871,0.9561375828337016,0.1205052725549181,event_brier
hydrograph_analog,independent_daily_shuffle,90,event_brier,3303,422692,0.1424466110949981,0.4116764574731459,65.39840729068408,64.78390993186714,65.99913225842354,0.9521646987587042,0.1470282174933408,event_brier
hydrograph_analog,independent_daily_shuffle,105,event_brier,3325,426164,0.1535331815288514,0.4477353927389108,65.70894684254242,65.1389425745132,66.32451459173477,0.9425563909774436,0.1595594567440933,event_brier
hydrograph_analog,independent_daily_shuffle,120,event_brier,3333,428955,0.1627847705261735,0.4748741422353862,65.72043915470046,65.15531112281735,66.30824809634626,0.9384938493849384,0.1712515721133241,event_brier
hydrograph_analog,independent_daily_shuffle,30,joint_onset_rps,2660,341710,0.0572058638046324,0.1043127172779556,45.159262171073955,44.08821636873825,46.21655307071113,0.9281954887218044,0.0590550016082322,timing_crps
hydrograph_analog,independent_daily_shuffle,45,joint_onset_rps,3026,386470,0.0668989207370382,0.1426689604900338,53.108987051383544,52.21121451489297,53.98989167501316,0.953734302709848,0.0688635648547075,timing_crps
hydrograph_analog,independent_daily_shuffle,60,joint_onset_rps,3169,404349,0.0763658848130017,0.1786438717339294,57.25244640535982,56.45567461007304,58.03891978139092,0.962764278952351,0.0784745548086204,timing_crps
hydrograph_analog,independent_daily_shuffle,90,joint_onset_rps,3303,422692,0.0926812375506429,0.2416035526993712,61.63912470858128,60.97217856060391,62.29823174064993,0.9669996972449288,0.0953145331437992,timing_crps
hydrograph_analog,independent_daily_shuffle,105,joint_onset_rps,3325,426164,0.0999939258594863,0.2692018131884228,62.85540402749908,62.212500838325894,63.4711511566303,0.9699248120300752,0.1030413369696059,timing_crps
hydrograph_analog,independent_daily_shuffle,120,joint_onset_rps,3333,428955,0.1062767496499557,0.294137233676094,63.86831129071253,63.20840929447049,64.47051775718167,0.9717971797179716,0.110027744810532,timing_crps
hydrograph_analog,independent_daily_shuffle,30,duration_crps,2660,341710,1.0709988090454412,1.410054268111776,24.045560992511938,23.58332293085343,24.53131784902968,0.9966165413533836,1.082605128704328,duration_crps
hydrograph_analog,independent_daily_shuffle,45,duration_crps,3026,386470,1.7529789406652574,2.410058738445404,27.26405739820236,26.801092124374264,27.72057869834511,0.9990085922009252,1.7660895489369142,duration_crps
hydrograph_analog,independent_daily_shuffle,60,duration_crps,3169,404349,2.537274617880218,3.5781073328951685,29.088918195552765,28.60947697803476,29.556471623123333,0.9990533291259072,2.551381343476664,duration_crps
hydrograph_analog,independent_daily_shuffle,90,duration_crps,3303,422692,4.265682188482762,6.204829219117067,31.252222456982324,30.744694505471006,31.78219182375635,0.9984862246442628,4.283106151805728,duration_crps
hydrograph_analog,independent_daily_shuffle,105,duration_crps,3325,426164,5.169644199100912,7.595899752571054,31.941647895615063,31.436054496098556,32.43637620886201,0.9984962406015038,5.191922073892132,duration_crps
hydrograph_analog,independent_daily_shuffle,120,duration_crps,3333,428955,6.04446626696581,8.979095682144926,32.682906152951155,32.17001803379358,33.168374316744476,0.9993999399939996,6.079410449949032,duration_crps
hydrograph_analog,independent_daily_shuffle,30,deficit_crps,2660,341710,0.0625494283355711,0.0846645041114469,26.12083541736095,25.113654670668065,27.164134060139784,0.9733082706766916,0.0629978874103049,deficit_crps
hydrograph_analog,independent_daily_shuffle,45,deficit_crps,3026,386470,0.1113975301155364,0.1608301749502521,30.735926793592174,29.712487571320665,31.746778518274283,0.9838070059484468,0.1123410878958766,deficit_crps
hydrograph_analog,independent_daily_shuffle,60,deficit_crps,3169,404349,0.1716732621667951,0.2586361908700359,33.62365042985785,32.64720170919392,34.667478266052115,0.9867466077627012,0.1733988716372465,deficit_crps
hydrograph_analog,independent_daily_shuffle,90,deficit_crps,3303,422692,0.3133670833190972,0.4986067935472346,37.15146135701198,36.19035915423987,38.101613200567606,0.9900090826521344,0.3182677086876077,deficit_crps
hydrograph_analog,independent_daily_shuffle,105,deficit_crps,3325,426164,0.3896385015391703,0.6339763269489007,38.54052825373468,37.577908472719606,39.51900488860726,0.992781954887218,0.3975020675870216,deficit_crps
hydrograph_analog,independent_daily_shuffle,120,deficit_crps,3333,428955,0.4618787304118266,0.7690214485820048,39.93942155144272,38.97785939137654,40.87964893318465,0.993099309930993,0.4740426801199879,deficit_crps
